x,y,label
69.09286,-5.0572805,STANDING
32.217133,22.547579,STANDING
52.140453,8.851507,STANDING
28.409704,18.755867,STANDING
40.515,20.184198,STANDING
40.607647,20.117058,STANDING
57.08945,5.7398133,STANDING
30.88746,17.123394,STANDING
58.30054,5.9450955,STANDING
44.985508,0.4239349,STANDING
45.09154,0.3839861,STANDING
40.744022,27.20684,STANDING
43.52457,27.033371,STANDING
63.91803,16.88198,STANDING
57.73412,-18.585121,STANDING
62.317215,-14.916253,STANDING
32.112217,15.606439,STANDING
55.9627,7.023389,STANDING
63.187954,11.29641,STANDING
64.68524,11.649455,STANDING
63.795006,16.946339,STANDING
64.253746,16.056635,STANDING
65.05278,15.20495,STANDING
64.94497,14.924447,STANDING
64.76061,14.674179,STANDING
64.6958,14.666528,STANDING
63.887196,17.497185,STANDING
7.095434,17.56657,SITTING
10.805442,23.5954,SITTING
13.305535,26.061056,SITTING
23.461285,-15.211353,SITTING
23.374964,-15.298855,SITTING
7.6139507,16.38276,SITTING
10.877168,24.6118,SITTING
12.733672,25.829803,SITTING
20.455982,37.819977,SITTING
36.093224,39.78346,SITTING
34.670517,38.200382,SITTING
13.309045,16.014051,SITTING
13.76611,16.179794,SITTING
18.339455,17.462584,SITTING
27.403492,31.214363,SITTING
27.385588,31.239262,SITTING
26.861355,31.322151,SITTING
24.902254,28.01747,SITTING
32.24664,32.6402,SITTING
32.257786,32.652664,SITTING
29.41878,31.587553,SITTING
29.671446,31.85275,SITTING
29.743366,31.866276,SITTING
29.141827,30.845436,SITTING
-13.000835,34.490208,LAYING
-5.0046573,41.62386,LAYING
-14.056243,56.90461,LAYING
-11.115056,71.142944,LAYING
-13.648369,68.00385,LAYING
-15.63782,64.56632,LAYING
-16.7272,64.387474,LAYING
-14.008769,68.863556,LAYING
-14.004752,69.49903,LAYING
-14.215675,69.719124,LAYING
-14.527356,69.27431,LAYING
-14.136268,69.25102,LAYING
-13.955606,69.31105,LAYING
-5.06728,33.589714,LAYING
-4.059989,39.355965,LAYING
-7.7820926,25.606842,LAYING
-7.7969513,25.625307,LAYING
-11.219661,32.836452,LAYING
-9.255522,33.113667,LAYING
-3.3287065,-18.907581,LAYING
-3.3172743,-18.894123,LAYING
-13.578048,26.717825,LAYING
-17.58605,27.985765,LAYING
-18.083414,27.985584,LAYING
-27.053705,63.04684,LAYING
-26.720873,63.17896,LAYING
-26.504139,63.27431,LAYING
-43.946613,-4.6696153,WALKING
-44.970604,-4.921564,WALKING
-45.735424,-5.218083,WALKING
-46.478477,-6.170816,WALKING
-46.444008,-6.031528,WALKING
-45.911335,-5.4636354,WALKING
-45.752922,-4.7388372,WALKING
-46.10693,-4.674705,WALKING
-44.367016,-4.4225354,WALKING
-44.95844,-4.7270536,WALKING
-45.14207,-6.044934,WALKING
-45.412678,-6.443417,WALKING
-46.20067,-6.9828205,WALKING
-46.564552,-7.1719546,WALKING
-47.801773,-6.6094656,WALKING
-47.87791,-6.145052,WALKING
-48.243313,-5.431993,WALKING
-46.98124,-5.7304525,WALKING
-47.029533,-4.7531075,WALKING
-46.404507,-3.5029852,WALKING
-48.04679,-5.9195094,WALKING
-47.655933,-7.1082315,WALKING
-47.556774,-7.1898465,WALKING
-49.05931,-6.7195296,WALKING
-48.864872,-6.4768333,WALKING
-47.34618,-5.5239697,WALKING
-46.84004,-5.0506387,WALKING
-45.16488,-5.83815,WALKING
-46.07663,-6.7799687,WALKING
-48.449814,-6.0580344,WALKING
-48.34149,-5.744622,WALKING
-47.26798,-5.0894976,WALKING
-46.7869,-4.7537866,WALKING
-48.49047,-8.038589,WALKING
-48.185593,-7.787191,WALKING
-45.28347,-6.5444946,WALKING
-46.145485,-6.267204,WALKING
-46.55098,-5.715693,WALKING
-45.466045,-5.011041,WALKING
-45.390617,-4.806449,WALKING
-44.79217,-3.286533,WALKING
-44.80899,-3.1917686,WALKING
-45.003674,-3.4041657,WALKING
-44.4167,-3.095929,WALKING
-44.482548,-3.2263308,WALKING
-45.501183,-4.0480404,WALKING
-45.563587,-4.0689287,WALKING
-45.79877,-20.042261,WALKING_DOWNSTAIRS
-45.938046,-20.088747,WALKING_DOWNSTAIRS
-50.73236,-22.308746,WALKING_DOWNSTAIRS
-50.63311,-22.380161,WALKING_DOWNSTAIRS
-49.106667,-20.204594,WALKING_DOWNSTAIRS
-51.8075,-22.901918,WALKING_DOWNSTAIRS
-51.735954,-22.904257,WALKING_DOWNSTAIRS
-47.823483,-18.61537,WALKING_DOWNSTAIRS
-47.694633,-18.587133,WALKING_DOWNSTAIRS
-63.262527,-18.30791,WALKING_DOWNSTAIRS
-53.578987,-21.450096,WALKING_DOWNSTAIRS
-53.38104,-21.914116,WALKING_DOWNSTAIRS
-52.726654,-22.238054,WALKING_DOWNSTAIRS
-50.956905,-19.98563,WALKING_DOWNSTAIRS
-51.061394,-21.821173,WALKING_DOWNSTAIRS
-49.873566,-19.994682,WALKING_DOWNSTAIRS
-48.639698,-19.823647,WALKING_DOWNSTAIRS
-47.04396,-22.567364,WALKING_DOWNSTAIRS
-47.094185,-22.533922,WALKING_DOWNSTAIRS
-52.231075,-21.934578,WALKING_DOWNSTAIRS
-52.066032,-21.8582,WALKING_DOWNSTAIRS
-49.773098,-22.340649,WALKING_DOWNSTAIRS
-49.682957,-22.36767,WALKING_DOWNSTAIRS
-48.054893,-19.276003,WALKING_DOWNSTAIRS
-47.91133,-19.20634,WALKING_DOWNSTAIRS
21.148153,-43.795143,WALKING_UPSTAIRS
21.004534,-43.984245,WALKING_UPSTAIRS
23.402554,-44.732094,WALKING_UPSTAIRS
23.362509,-44.894756,WALKING_UPSTAIRS
21.59707,-47.113914,WALKING_UPSTAIRS
23.032705,-47.059948,WALKING_UPSTAIRS
21.1507,-47.083855,WALKING_UPSTAIRS
20.732483,-47.46258,WALKING_UPSTAIRS
21.70071,-43.72317,WALKING_UPSTAIRS
